location_site,location_waypoint,location_reach_number,location_distance_m,habitat_unit_type,habitat_unit_cat,habitat_unit_length_m,habitat_unit_gradient_percent,mean_depth_bankfull_m,mean_depth_water_m,mean_depth_water_m_2,mean_depth_water_m_3,mean_width_bankfull_m,mean_width_wetted_m,pools_only_max_depth_m,pools_only_crest_m,pools_only_residual_m,pools_only_pool_type,bed_material_type_dom,bed_material_type_sub_dom,bed_material_type_spawning_gravel,bed_material_type_spawning_gravel_2,total_lwd_tally_spawning_gravel,functional_lwd10_20cm,functional_lwd20_50cm,functional_lwd_50cm,cover_type,cover_percent,cover_type_2,cover_percent_2,offchannel_habitat_type,offchannel_habitat_access,offchannel_habitat_length_m,disturbance_indicators_length_m,disturbance_indicators_length_m_2,disturbance_indicators_length_m_3,riparian_vegetation_type,riparian_vegetation_structure,riparian_vegetation_canopy_closure,notes_barriers,notes_comments,easting,northing
2,099,1,85,R,1,85,3,0.45,0.3,0.28,0.24,6.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,B,5,UB,NA,NA,NA,NA,NA,NA,NA,M,YF,1,NA,NA,649933.4982684023,5531893.79240461
2,100,1,128,C,1,43,4.5,0.4,0.25,0.2,0.35,6.9,6,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,B,5,OV,NA,NA,NA,NA,NA,NA,NA,M,YF,1,NA,NA,649914.2969873155,5531868.777282563
2,101,1,172,R,1,44,3,0.4,0.27,0.24,0.3,6.2,4.7,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,0,B,4,UB,NA,NA,NA,NA,NA,NA,NA,M,YF,1,NA,LWD at top end,649896.4732255649,5531833.011119207
2,102,1,209,C,1,37,4,0.3,0.25,0.4,0.4,5.8,3.9,NA,NA,NA,NA,NA,NA,NA,NA,11,2,3,1,B,4,LWD,NA,NA,NA,NA,NA,NA,NA,M,YF,1,NA,reset chain,649864.3724185086,5531814.760979329
2,103,1,214.5,G,1,5.5,0.5,0.5,0.15,0.4,0.5,7.4,3.7,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,1,UB,10,LWD,NA,NA,NA,NA,NA,NA,NA,M,YF,1,NA,LWD at top end,649862.1312023292,5531807.4712421205
2,104,1,237.5,C,1,23,4,0.7,0.2,0.35,0.3,6.3,4.7,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,1,B,4,UB,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649856.9275869281,5531795.865126573
2,105,1,250.5,R,1,13,2,0.4,0.45,0.4,0.2,6.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,U,7,B,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649859.0696606511,5531788.576416839
2,106,1,272.5,C,1,22,4.5,0.35,0.3,0.35,0.3,5.8,4.4,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,SWD,5,B,5,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649847.5847814556,5531780.469350185
2,107,1,280,R,1,7.5,1.5,0.6,0.2,0.3,0.4,5.6,2.8,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,LWD,NA,UB,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649836.4643163378,5531782.611814262
2,108,1,289,C,1,9,4,0.6,0.4,0.25,0.1,5.7,4.8,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,UB,NA,SWD,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649834.3562237553,5531778.319272689
2,109,1,292,P,1,3,0,0.5,0.35,0.5,0.25,8.9,8.5,0.6,0.15,0.45,S,NA,NA,NA,NA,3,0,1,0,LWD,5,UB,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649828.0092008414,5531774.0297567975
2,110,1,297,R,1,5,2,0.45,0.15,0.2,0.2,6.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,0,LWD,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649826.4439987427,5531778.770065121
2,111,1,299,P,1,2,0,0.55,0.45,0.5,0.3,6.2,4.3,0.45,0.05,0.4,S,NA,NA,NA,NA,6,6,0,0,DP,50,LWD,25,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649827.9533347499,5531776.033170137
2,112,1,307,C,1,8,10,0.5,0.3,0.3,0.3,6.7,5.5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,SWD,NA,UB,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649818.5073115458,5531779.882293743
2,113,1,311,P,1,4,0,0.4,0.5,0.2,0.35,7.4,6.8,0.8,0.2,0.6,S,NA,NA,NA,NA,3,1,2,0,DP,40,LWD,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,wpt end 113,649811.3690123627,5531775.68263968
3,115,2,7.5,C,1,7.5,6,0.6,0.25,0.25,0.25,6.6,3.4,NA,NA,NA,NA,NA,NA,NA,NA,4,0,2,0,UB,3,B,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649390.5949505692,5531710.000801173
3,116,2,14.5,R,1,7,1.5,0.55,0.3,0.25,0.3,7.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,0,LWD,3,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649395.0583639474,5531707.122119309
3,117,2,30,C,1,15.5,5,0.5,0.2,0.25,0.3,6.1,5.9,NA,NA,NA,NA,NA,NA,NA,NA,7,2,3,0,UB,4,LWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649379.1238439952,5531706.567189731
3,118,2,37,G,1,7,0.5,0.7,0.5,0.4,0.6,5.7,5.1,NA,NA,NA,NA,NA,NA,NA,NA,11,7,2,0,LWD,5,SWD,3,NA,NA,NA,NA,NA,NA,C,MF,1,yes,barrier is 0.6m high,649371.6951766285,5531700.019390044
3,119,2,59,R,1,22,1.5,0.45,0.15,0.25,0.35,5.2,3.9,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,0,B,3,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649352.1601849356,5531694.692420988
3,120,2,66,G,1,7,5,0.45,0.35,0.3,0.25,7.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,B,3,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649347.3228396027,5531690.445458982
3,121,2,75,R,1,9,1.5,0.4,0.2,0.15,0.35,5.7,5.3,NA,NA,NA,NA,NA,NA,NA,NA,5,0,1,2,LWD,3,B,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649346.9217051126,5531691.879747354
